duration,waitingtime,waitingcount,timeloss,co2,fuel
125,10,1,34.32,247950.6551,79087.23458
114,0,0,22.85,224334.1186,71554.39053
131,15,1,40.32,246965.7292,78773.25637
133,11,1,41.69,254496.4309,81175.22882
111,0,0,20.21,218963.8531,69841.44675
126,0,0,35.42,244736.3698,78062.07775
122,2,1,30.68,247044.8387,78798.26059
126,0,0,34.61,240702.4633,76775.40167
112,0,0,21.06,213030.6869,67949.09079
113,0,0,21.61,221932.3922,70788.31169
122,0,0,31.05,238837.5996,76180.52573
112,0,0,21.09,212418.9252,67753.93375
111,0,0,19.73,229395.2772,73168.51674
116,2,1,25.3,235114.5527,74992.87406
104,0,0,13.39,207219.5242,66095.38929
123,7,1,32.36,247439.749,78924.26073
127,9,1,35.77,250647.0549,79947.34716
113,0,0,21.57,220031.2547,70181.94945
128,18,1,37.03,254930.6973,81313.62746
130,20,1,38.83,256935.4179,81953.10901
104,0,0,12.8,206039.934,65719.11762
118,0,0,26.8,229597.0996,73233.09384
117,0,0,25.68,227633.0355,72606.65468
111,0,0,20.46,221379.4352,70611.85525
107,0,0,15.66,210356.4218,67095.98948
105,0,0,14.44,208396.8918,66470.91287
102,0,0,10.58,201920.9359,64405.34345
115,0,0,24.47,227233.2698,72479.10155
114,1,1,22.97,236465.8699,75423.78848
119,0,0,28.15,233738.8613,74554.16351
108,0,0,16.93,211313.2156,67401.17586
107,0,0,16.08,212791.9763,67872.81274
122,3,1,31.13,243252.375,77588.62171
111,0,0,20.28,222684.8595,71028.26032
105,0,0,13.62,206050.6387,65722.60808
125,17,1,34.29,240808.6375,76809.2839
105,0,0,13.85,209947.6551,66965.55617
118,0,0,26.92,232878.394,74279.70776
105,0,0,13.92,207218.0262,66094.94766
128,18,1,37.31,251709.5082,80286.25194
128,16,1,37.44,250432.0958,79878.82017
110,0,0,18.68,219045.5006,69867.42259
110,0,0,18.96,208045.9591,66359.12471
128,20,1,36.73,255711.2524,81562.59867
130,17,1,38.6,256430.0067,81791.88969
104,0,0,12.98,203583.5371,64935.69205
119,0,0,28.26,230942.7824,73662.36988
110,0,0,18.83,210629.9012,67183.29873
124,5,1,32.65,246856.5391,78738.21145
115,1,1,24.42,235055.4048,74973.95271
107,0,0,16.01,217197.9874,69278.05406
107,0,0,15.6,212924.9395,67915.2126
115,0,0,23.99,224536.4155,71618.93091
122,15,1,31.06,243622.9146,77706.81825
108,0,0,17.12,212139.5134,67664.72471
113,0,0,22.23,222107.6657,70844.2216
105,0,0,13.73,208323.6259,66447.57316
115,0,0,23.99,227242.0646,72481.83726
118,0,0,26.98,231763.6546,73924.16388
122,2,1,31,240248.5704,76630.50114
120,0,0,28.66,229259.9362,73125.67082
125,0,0,33.94,245447.4478,78288.85
107,0,0,15.66,211126.5076,67341.57402
122,2,1,31.39,240646.3837,76757.38654
107,0,0,16.41,214668.64,68471.37442
114,0,0,23.32,220209.4252,70238.80234
104,0,0,12.63,203476.5547,64901.56334
120,3,1,29.07,238409.2369,76043.79307
103,0,0,12.33,206175.8732,65762.50252
104,0,0,12.96,206040.4334,65719.31312
121,0,0,30.45,234076.7062,74662.00095
105,0,0,13.64,211928.7498,67597.38799
102,0,0,11.42,201508.6489,64273.85777
111,0,0,20.29,220848.5033,70442.51634
103,0,0,12.18,207045.905,66039.99401
112,0,0,20.84,228077.315,72748.17226
125,20,1,33.7,245454.4474,78291.0955
123,1,1,32.54,239677.7692,76448.5222
107,0,0,15.78,213806.9806,68196.53307
107,0,0,15.91,216021.465,68902.80808
103,0,0,12.3,206940.9054,66006.50769
119,3,1,28.56,235344.5064,75066.30761
126,6,1,34.94,245105.1073,78179.62097
109,0,0,17.78,214564.899,68438.3399
125,0,0,34.13,228665.0369,72936.10411
102,0,0,10.74,201227.3253,64184.08459
108,0,0,17.46,213790.8832,68191.43154
108,0,0,17.54,209967.3951,66971.941
115,0,0,23.85,226869.9982,72363.222
103,0,0,11.68,204485.2717,65223.27854
102,0,0,11.5,201046.6865,64126.51636
114,0,0,22.88,234339.42,74745.50157
113,0,0,22.17,221890.6665,70775.01253
104,0,0,13.31,204849.8227,65339.57503
102,0,0,11.18,204305.2251,65165.81633
110,0,0,18.66,218665.5785,69746.28831
122,7,1,31.21,241195.534,76932.53549
119,0,0,28.51,228316.1325,72824.6091
121,0,0,29.68,230284.4129,73452.43892
112,0,0,21.38,225575.8023,71950.33425
114.34,2.51,0.27,23.3707,225427.225,71903.04082
