duration,waitingtime,waitingcount,timeloss,co2,fuel
155,14,1,64.5,287915.8784,91835.1656
114,0,0,23.07,228466.1771,72872.31033
109,0,0,18.47,216288.7851,68988.18007
137,0,0,46.17,261394.3936,83375.52102
134,19,1,43.48,255177.8389,81392.61659
157,20,1,66.21,289643.5268,92386.25016
126,0,0,34.64,249929.4949,79718.44919
131,0,0,40.48,254712.5394,81244.16114
118,0,0,27.27,235344.8857,75066.40844
135,17,1,44.28,260389.1911,83054.81506
146,20,1,54.76,277911.2313,88643.90169
121,0,0,29.89,241900.2426,77157.34305
116,0,0,24.77,230247.8865,73440.64679
120,0,0,29.48,237979.3141,75906.72588
137,0,0,45.69,259349.6986,82723.35282
124,0,0,33.24,242134.9326,77232.27765
131,0,0,39.8,251763.3531,80303.49564
121,0,0,30.33,242805.7595,77446.17396
135,0,0,43.72,257601.4056,82165.66856
136,0,0,44.71,262645.6825,83774.60746
133,3,1,42.21,256434.7735,81793.46497
122,0,0,31.33,239385.236,76355.2029
118,0,0,26.69,232809.0136,74257.57811
141,18,1,49.99,269022.5911,85808.69946
113,0,0,21.58,229627.8892,73242.81763
113,0,0,21.93,223520.8647,71294.95882
137,0,0,46.42,262111.2445,83604.16955
113,0,0,21.68,229735.4196,73277.11648
121,0,0,30.51,242820.148,77450.76601
123,0,0,31.63,241406.2634,76999.84009
112,0,0,20.85,226030.7902,72095.48109
112,0,0,20.83,227545.4802,72578.59488
129,0,0,37.64,248926.2906,79398.54314
114,0,0,23.1,229027.7771,73051.43607
129,4,1,38.15,253389.1829,80821.99655
157,5,1,65.65,285802.7446,91161.20792
131,0,0,40.21,253963.9894,81005.40008
119,0,0,28.07,240493.7022,76708.66098
130,0,0,39.01,248286.9657,79194.6559
134,0,0,43.47,253944.0284,80999.11736
134,0,0,42.71,259830.4489,82876.61464
115,0,0,24.08,226235.3167,72160.79861
121,0,0,29.67,240003.9665,76552.52182
132,0,0,40.76,248868.9931,79380.35732
133,0,0,41.8,254128.5189,81057.92844
133,0,0,42.22,255865.2928,81611.88322
121,0,0,29.76,239530.9109,76401.63778
115,0,0,24.16,234998.642,74955.90034
133,0,0,41.84,255416.2421,81468.64959
118,0,0,27.34,234785.7564,74888.07152
114,0,0,23.05,226567.0725,72266.59371
131,0,0,40.54,255242.9973,81413.35558
119,0,0,27.64,237499.7047,75753.72257
124,0,0,33.5,241833.9968,77136.30209
135,15,1,44.23,260326.9082,83034.94819
123,0,0,32.42,244858.093,78100.82824
159,1,1,68.22,289624.405,92380.12855
120,0,0,28.76,242918.8017,77482.20328
121,0,0,29.87,240785.7096,76801.8628
128,0,0,37.33,247018.3888,78789.9848
121,0,0,29.57,239623.9285,76431.30221
125,0,0,34.16,247456.5223,78929.65786
138,18,1,46.98,261365.5681,83366.30554
127,0,0,35.84,247554.6572,78961.00376
135,12,1,44.51,262591.9846,83757.45168
114,0,0,22.98,226478.652,72238.38988
137,0,0,45.92,260170.2289,82985.06605
120,0,0,29.39,236025.3192,75283.44594
131,0,0,39.66,252980.715,80691.77084
138,0,0,46.59,264094.9529,84236.9001
122,0,0,31.33,240314.483,76651.58836
133,1,1,42.4,256586.6328,81841.90296
132,0,0,41.16,250841.0394,80009.34786
119,0,0,28.16,239139.2128,76276.65714
130,2,1,39.32,251264.2019,80144.26847
112,0,0,20.76,223659.3883,71339.12203
135,0,0,44.29,259001.3097,82612.18479
155,11,1,63.84,285124.2032,90944.73158
114,0,0,23.43,228909.38,73013.68066
111,0,0,19.59,217464.1209,69363.0996
133,12,1,41.78,255843.2107,81604.79842
123,0,0,31.58,241646.7631,77076.54815
135,0,0,43.79,257659.3498,82184.15267
137,15,1,45.67,263344.1461,83997.41056
125,0,0,33.91,245023.6839,78153.68859
132,2,1,40.63,259060.3496,82630.92213
113,0,0,21.89,232714.8839,74227.43181
115,0,0,23.67,231985.7331,73994.91501
144,19,1,52.63,272704.5938,86983.10655
161,0,0,70.23,289761.7784,92424.02913
160,17,1,68.61,294631.45,93977.25095
123,0,0,31.7,242255.7364,77270.78541
120,0,0,28.86,235726.0087,75188.01908
133,8,1,41.65,256501.0546,81814.65533
130,10,1,39.37,252629.7938,80579.82598
114,0,0,22.59,226417.2925,72218.81387
129,0,0,38.14,251179.7208,80117.29071
126,0,0,35.43,245353.1289,78258.7961
125,0,0,34.39,247062.4448,78803.96639
118,0,0,27.24,235031.8091,74966.55637
127.78,2.63,0.23,36.7945,248614.0621,79298.92913
