duration,waitingtime,waitingcount,timeloss,co2,fuel
127,17,1,35.57,249686.8221,79641.04978
121,0,0,30.31,225633.5596,71969.08049
125,0,0,33.87,246323.3177,78568.21179
134,5,1,43.27,260439.1085,83070.77764
109,0,0,18.53,215929.6665,68873.65024
132,0,0,41.07,248478.2395,79255.61763
110,0,0,19.53,210971.8353,67292.37719
118,1,1,27.18,235098.0711,74987.67781
108,0,0,17.51,213157.1116,67989.29489
123,0,0,31.72,236815.7495,75535.7022
123,0,0,31.89,242152.5894,77237.84582
116,0,0,25.53,228551.543,72899.56098
108,0,0,16.73,211377.7447,67421.79079
126,7,1,35.48,248238.9662,79179.24566
117,0,0,25.64,224935.6463,71746.32875
130,11,1,39.53,251547.4193,80234.59736
128,10,1,37.18,245701.9466,78370.05388
108,0,0,17.45,215022.505,68584.25775
123,0,0,31.93,230529.2265,73530.6106
123,0,0,31.91,234770.4141,74883.31548
104,0,0,13.36,205992.9592,65704.17644
109,0,0,18.39,214404.722,68387.26203
129,19,1,38.51,248185.7575,79162.34149
117,0,0,25.86,229343.1118,73152.01578
138,3,1,46.99,262145.6198,83615.1242
128,0,0,37.19,248308.3861,79201.44585
122,0,0,31.3,237339.8316,75702.76664
122,1,1,31.17,239868.2685,76509.26423
124,1,1,33.54,238354.1657,76026.37705
108,0,0,16.73,214121.0246,68296.7631
111,0,0,20.35,222275.7931,70897.79091
126,2,1,34.86,242457.6959,77335.238
106,0,0,14.58,207832.94,66291.12457
129,1,1,38.4,253408.4613,80828.14007
128,9,1,37.52,248335.3853,79210.05963
124,0,0,32.89,230060.1019,73380.98443
108,0,0,16.91,218213.081,69601.96023
121,0,0,30.14,228467.5546,72872.96646
125,4,1,34.21,241716.5002,77098.84366
115,0,0,23.77,231547.792,73855.19446
119,0,0,28.52,225818.2303,72027.87695
133,0,0,41.87,257515.6341,82138.25831
111,0,0,19.91,217584.2448,69401.39049
131,0,0,40.01,244172.4812,77882.3229
122,5,1,30.72,238620.7544,76111.30874
107,0,0,16.03,209502.8618,66823.76239
120,1,1,28.73,237451.5409,75738.37405
116,0,0,25.52,221328.0377,70595.66347
122,0,0,30.9,235728.0464,75188.68916
108,0,0,16.91,214667.7463,68471.13823
111,0,0,19.91,221496.9654,70649.37682
111,0,0,19.92,223735.8157,71363.41675
122,0,0,31.38,239969.8344,76541.60581
124,18,1,32.57,243374.3449,77627.57886
110,0,0,18.91,221065.1049,70511.62251
118,0,0,26.9,240633.7885,76753.34661
115,0,0,24.21,225896.3699,72052.64379
133,1,1,42.21,257603.2071,82166.2051
128,0,0,37.27,241126.1445,76910.6171
104,0,0,13.13,201493.4452,64269.00225
115,0,0,23.91,233171.4187,74373.05437
122,0,0,30.72,235748.7954,75195.30215
126,3,1,35.22,243607.9229,77702.10062
106,0,0,15.33,205538.2522,65559.21023
132,18,1,40.57,251438.4234,80199.84052
116,0,0,24.73,223793.4303,71382.01145
127,1,1,35.64,249047.0351,79436.99721
129,2,1,37.64,249170.5498,79476.41372
126,4,1,35.33,244600.2896,78018.62724
111,0,0,19.91,224830.0497,71712.46385
128,18,1,36.97,253728.9697,80930.28961
161,20,2,70.37,290425.3088,92635.65176
109,0,0,17.66,215938.3756,68876.35252
123,0,0,32.55,236332.2788,75381.44125
116,0,0,25.11,220492.5953,70329.18193
110,0,0,19.52,210934.1663,67280.37455
116,0,0,25.51,225080.0643,71792.39515
108,0,0,16.92,220926.0742,70467.18237
105,0,0,13.57,207852.7939,66297.40002
125,1,1,33.91,243172.1726,77563.09991
128,1,1,37.52,247832.8473,79049.75036
114,0,0,22.68,220267.8334,70257.29767
120,0,0,28.84,231651.8706,73888.58702
111,0,0,19.89,221090.8643,70519.85278
104,0,0,13.4,203576.8353,64933.55887
131,6,1,40.52,251771.9196,80306.27562
116,0,0,25.5,230008.0013,73364.09488
126,9,1,34.8,244461.6803,77974.40788
114,1,1,22.86,230608.1292,73555.473
114,0,0,22.73,226564.3928,72265.73625
107,0,0,16.28,214712.352,68485.31533
107,0,0,16.5,211259.8449,67384.19986
116,2,1,25.53,229868.9364,73319.76783
112,0,0,20.77,211693.0793,67522.43275
123,0,0,32.06,241934.0103,77168.13883
113,0,0,21.99,218095.0832,69564.29924
115,0,0,24.27,225315.9268,71867.51502
151,7,1,60.52,276895.1939,88319.90493
116,0,0,25.53,227176.5736,72461.07267
138,16,1,46.58,258154.6394,82342.15989
119.55,2.25,0.34,28.6389,232652.9421,74207.84317
