duration,waitingtime,waitingcount,timeloss,co2,fuel
355,8,1,126.75,520608.1009,166056.005
331,6,1,102.84,491983.3513,156925.3748
302,0,0,73.27,472216.3653,150619.7809
303,11,1,74.64,469669.663,149807.4975
294,10,1,65.52,460819.5977,146984.6081
315,8,1,86.77,483322.9863,154162.516
313,0,0,84.73,459105.9473,146438.5493
290,6,1,61.73,468881.0265,149555.5586
309,0,0,80.01,471327.6425,150336.4948
293,9,1,64.82,491802.1467,156866.3413
305,1,1,76.47,466839.5437,148904.9637
344,12,2,115.83,520722.7513,166092.1808
361,31,3,132.49,544851.9819,173788.7805
337,14,2,108.65,504216.187,160827.262
357,20,3,128.72,546291.3972,174247.6203
352,6,2,123.36,523821.5482,167080.8369
312,27,3,83.39,499503.4496,159323.2646
329,13,2,100.91,488119.9195,155693.0726
349,2,1,120.79,507400.2838,161843.1103
326,0,0,97.79,479562.997,152963.763
359,3,1,130.67,538742.7434,171840.1299
313,16,2,84.84,491839.1239,156878.7779
335,9,1,107.09,491504.2589,156772.6988
359,23,2,130.94,550773.2371,175677.3006
324,10,1,95.71,487918.5086,155628.6675
362,9,1,134.05,548775.4653,175040.1649
295,2,1,67.03,452197.4036,144234.4324
302,9,1,73.29,477031.7964,152155.5774
341,7,1,112.49,511622.4495,163189.5599
312,10,1,83.6,468731.6299,149508.5995
329,2,1,100.94,502033.9584,160131.0031
299,0,0,70.64,452160.6817,144222.8555
287,6,1,58.72,444588.6979,141807.4262
370,20,3,142.06,550266.6877,175516.0303
328,0,0,100.23,494708.8093,157794.5668
289,9,1,60.7,440324.0504,140447.3313
293,0,0,64.33,451983.9234,144166.2614
307,0,0,78.6,452841.7405,144440.3917
294,0,0,66.3,453038.9155,144502.8299
294,1,1,65.91,452344.9103,144281.4262
349,0,0,121.09,525625.1861,167655.943
305,10,1,76.81,448156.2973,142945.8968
308,1,1,79.1,462708.1636,147587.3045
319,0,0,90.93,470685.131,150131.8673
325,0,0,97.17,478364.6069,152581.5012
354,2,1,125.91,524905.0227,167426.4108
313,9,2,84.8,522300.68,166594.4401
306,13,2,77.74,468099.5933,149306.8623
346,21,2,117.45,505099.3673,161109.0854
309,17,2,80.4,469657.2319,149803.6631
332,9,1,103.88,513131.3419,163670.5269
358,9,1,129.48,534994.6342,170644.5196
306,21,2,77.41,479749.0104,153022.4452
347,16,2,118.62,521825.3788,166443.9872
330,10,1,101.93,506656.808,161605.4122
335,23,3,107.06,513384.2754,163751.273
296,8,1,67.61,464254.217,148080.1006
304,0,0,75.61,457320.0474,145868.6113
363,11,3,134.66,537231.647,171358.4201
315,13,2,86.85,477693.7917,152367.2254
278,10,1,49.47,448246.5177,142973.8687
285,0,0,56.93,429506.0751,136996.749
360,0,0,131.5,526063.2074,167796.0684
289,11,1,60.81,444043.2313,141633.5329
301,2,1,72.83,467675.2239,149171.2961
311,6,1,82.12,480343.0379,153211.9623
320,13,2,92.07,501230.0053,159874.2425
285,0,0,56.89,439001.3981,140025.3295
322,0,0,94.05,480167.6124,153156.424
354,22,3,125.5,525796.2583,167710.675
343,8,2,115.19,510192.3875,162733.5491
329,0,0,100.43,511890.6722,163274.6972
322,10,1,93.1,498774.436,159091.0817
339,2,1,110.6,499232.0266,159237.4839
317,0,0,88.89,477731.2103,152379.122
359,9,1,130.71,524196.2222,167200.5194
324,6,1,95.81,500455.6405,159627.3184
376,17,3,147.62,562509.9149,179421.2953
325,10,1,96.77,478846.8673,152735.2764
357,18,2,128.35,542182.4481,172937.102
299,4,1,70.46,462901.1612,147648.4466
319,18,2,90.7,479933.5853,153081.6479
289,0,0,60.02,447170.317,142630.9117
327,9,1,98.41,506325.6897,161499.6797
278,10,1,49.77,446140.2722,142302.0285
355,2,1,126.97,519231.975,165617.0594
335,10,1,106.85,497517.8474,158690.5909
327,6,1,98.47,506569.8514,161577.5789
310,0,0,81.32,467224.9488,149027.9591
293,0,0,64.74,438547.3625,139880.7411
300,10,1,71.86,472766.4593,150795.1294
343,8,2,114.95,513155.1807,163678.4945
335,24,2,106.62,506902.0307,161683.8078
300,0,0,71.41,453029.6151,144499.9646
321,0,0,93.41,490870.258,156569.9527
328,0,0,100.39,505768.489,161322.0315
292,0,0,63.25,463100.3021,147711.8963
315,17,2,86.64,498969.3561,159153.0356
341,22,3,112.52,505250.5882,161157.1417
339,5,1,111.16,490607.5496,156486.7794
322.31,8.02,1.12,94.0169,489864.0554,156249.1158
