duration,waitingtime,waitingcount,timeloss,co2,fuel
374,2,1,146.48,563413.8718,179709.4476
356,8,2,127.95,530195.3197,169113.7868
433,15,2,203.27,614793.4072,196098.3845
433,23,2,204.65,626957.4714,199978.3336
377,15,1,148.81,557398.2013,177790.7213
377,0,0,147.34,554419.8687,176840.8332
428,5,1,197.43,611131.6945,194930.4606
403,30,2,174.17,610654.687,194777.8696
358,1,1,130.02,519463.1343,165690.7643
358,22,2,129.11,527336.376,168201.9032
363,17,2,134.5,541833.8237,172826.1846
366,14,1,138.16,551121.2175,175788.4428
339,0,0,109.97,508255.7365,162115.6099
351,0,0,122.68,507899.5471,162002.2414
340,12,1,111.66,535909.9038,170935.7981
424,6,1,195.51,614876.6448,196125.0128
346,25,3,118.48,524285.0106,167228.2812
347,5,2,118.3,522685.9788,166718.4011
404,20,3,175.82,597979.0156,190734.8667
417,20,2,188.69,612811.8617,195466.0291
371,8,2,143.29,551242.359,175827.2549
349,14,1,121.08,517638.818,165108.6784
382,29,2,153.5,577341.2046,184151.7799
402,28,3,174,593687.3686,189366.1524
323,0,0,94.38,493736.5075,157484.2185
333,0,0,104.62,497840.1923,158793.4358
412,2,1,184.41,601840.8149,191966.7186
381,19,2,153.37,568083.9871,181199.0215
347,10,1,118.17,522507.2813,166661.3795
414,6,3,185.28,636590.3904,203050.3504
353,1,1,124.88,523860.634,167093.2426
368,10,2,139.38,571252.9737,182209.1925
364,9,1,135.11,536149.7132,171012.9519
316,18,2,88.45,487587.4383,155522.7729
437,8,3,209.41,612198.2752,195270.9281
351,10,3,122.72,524505.3055,167298.8166
509,29,5,280.8,744853.5815,237583.3355
353,16,3,124.94,546795.8257,174408.2764
380,5,2,151.51,575200.864,183469.0912
362,26,4,134.38,559396.9447,178427.9637
363,3,1,134.66,529741.6127,168969.2817
356,3,1,127.78,532664.8209,169901.4257
357,1,1,128.97,536475.5429,171116.9397
349,12,1,120.91,530921.0248,169344.8925
383,1,1,155.16,557249.7467,177743.5059
414,9,2,185.65,594407.8518,189595.7302
350,4,2,121.64,532271.938,169775.9607
385,12,2,156.88,565048.393,180230.8555
358,6,1,129.53,528502.7816,168574.0429
349,4,1,121.42,532129.4965,169730.5503
396,21,2,168.22,578762.9313,184605.567
417,7,2,188.93,621430.2711,198215.061
334,0,0,106.02,503556.0328,160616.5122
364,1,1,135.24,548840.3218,175060.8202
387,0,0,158.4,560456.7025,178766.3609
378,15,2,149.94,556492.1939,177501.9088
377,10,2,147.73,580453.3289,185144.173
380,6,1,151.83,553399.6459,176515.52
402,8,4,174.02,598199.6995,190805.1862
390,15,2,161.83,584220.8299,186346.339
372,0,0,143.51,542010.0258,172882.646
363,2,1,134.75,543605.4469,173391.0922
367,14,1,138.98,535736.5355,170881.367
368,24,2,140.09,554869.3637,176984.0741
352,12,2,123.8,562263.9837,179341.8836
331,0,0,102.41,517768.7643,165149.504
405,0,0,176.44,570638.5108,182014.5875
361,4,1,132.46,543504.0705,173358.7181
379,11,2,150.25,560058.6944,178639.2098
367,12,2,138.86,553832.792,176653.4143
379,7,2,150.68,562789.0046,179510.1467
356,4,1,127.75,546540.0021,174327.0201
415,14,1,187.33,580569.8744,185182.1114
352,0,0,123.53,529094.7713,168762.7254
447,28,3,218.94,667058.6077,212769.2569
394,12,4,165.77,592262.3153,188911.1078
394,2,1,165.21,571553.783,182306.1956
355,10,1,126.91,534398.7739,170454.4887
345,2,1,116.18,512631.6028,163511.5321
372,14,1,142.88,539447.2192,172065.09
376,0,0,148.01,547775.6631,174721.2779
384,33,2,155.56,565895.8617,180501.3305
358,10,1,129.64,551327.7328,175854.1875
372,29,3,144.43,551627.0804,175949.9226
368,1,1,140.06,528641.2501,168618.5245
441,12,3,212.48,641732.0494,204691.0204
338,8,1,109.76,519458.4825,165688.775
339,15,2,111.43,522641.7245,166704.0609
390,29,3,162.09,588102.5878,187584.1857
437,26,2,208.08,636435.0367,203001.3078
375,15,2,146.16,577677.7071,184258.7602
380,18,2,151.98,568903.2663,181460.4671
357,0,0,128.79,533107.1785,170042.5414
340,18,3,111.93,536651.9808,171172.7027
437,4,3,208.75,642178.9851,204832.9666
339,2,1,110.15,509346.0694,162463.3829
397,7,2,169.05,584716.6634,186504.7637
386,21,2,157.75,577001.2391,184043.5241
389,11,2,161.39,582259.9711,185720.8561
398,6,1,170.14,566951.1716,180838.5465
376.65,10.63,1.61,148.358,560540.2426,178792.8884
